,Datetime,State,Confirmed,Cured,Deaths
175,2020-03-16 18:00:00,Uttar Pradesh,13,4,0
176,2020-03-16 18:00:00,Uttarakhand,1,0,0
177,2020-03-17 18:00:00,Andhra Pradesh,1,0,0
178,2020-03-17 18:00:00,Delhi,8,2,1
179,2020-03-17 18:00:00,Haryana,15,0,0
180,2020-03-17 18:00:00,Karnataka,11,0,1
181,2020-03-17 18:00:00,Kerala,26,3,0
182,2020-03-17 18:00:00,Maharashtra,39,0,1
183,2020-03-17 18:00:00,Odisha,1,0,0
184,2020-03-17 18:00:00,Punjab,1,0,0
185,2020-03-17 18:00:00,Rajasthan,4,3,0
186,2020-03-17 18:00:00,Tamil Nadu,1,0,0
187,2020-03-17 18:00:00,Telangana,5,1,0
188,2020-03-17 18:00:00,Jammu and Kashmir,3,0,0
189,2020-03-17 18:00:00,Ladakh,6,0,0
190,2020-03-17 18:00:00,Uttar Pradesh,15,5,0
191,2020-03-17 18:00:00,Uttarakhand,1,0,0
192,2020-03-18 18:00:00,Andhra Pradesh,1,0,0
193,2020-03-18 18:00:00,Delhi,10,2,1
194,2020-03-18 18:00:00,Haryana,17,0,0
195,2020-03-18 18:00:00,Karnataka,11,0,1
196,2020-03-18 18:00:00,Kerala,27,3,0
197,2020-03-18 18:00:00,Maharashtra,42,0,1
198,2020-03-18 18:00:00,Odisha,1,0,0
199,2020-03-18 18:00:00,Puducherry,1,0,0
200,2020-03-18 18:00:00,Punjab,1,0,0
201,2020-03-18 18:00:00,Rajasthan,4,3,0
202,2020-03-18 18:00:00,Tamil Nadu,1,0,0
203,2020-03-18 18:00:00,Telangana,6,1,0
204,2020-03-18 18:00:00,Jammu and Kashmir,3,0,0
205,2020-03-18 18:00:00,Ladakh,8,0,0
206,2020-03-18 18:00:00,Uttar Pradesh,16,5,0
207,2020-03-18 18:00:00,Uttarakhand,1,0,0
208,2020-03-18 18:00:00,West Bengal,1,0,0
209,2020-03-19 18:00:00,Andhra Pradesh,2,0,0
210,2020-03-19 18:00:00,Chhattisgarh,1,0,0
